Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
2439;209.426254;101.589;25.194;19.3410;19.3096;-0.0314;4.698630;4.694506;-0.006125;4.4988;0.5952;86.1745;0.1096;0.1718;0.5942;11.88;2.0407;2.7947;2.7947;3.4280;3.4281;0.1245;9.4230e+00;8.1666e+00;0.0000;1.1539e+02;1;39.93321;-70.88469;25.000;34.7718;34.7638;24.7605;24.7624;262.807;258.504;228.58791;228.18513;19.3365;19.3051;1519.80;1519.70;0.491;1.182;48;0.0000e+00
2491;209.426285;103.759;26.202;19.5386;19.5373;-0.0013;4.741978;4.741827;-0.000891;4.5069;0.5880;86.3305;0.1096;0.1714;0.0207;0.41;2.0117;2.7569;2.7570;3.3779;3.3779;0.1535;8.8106e+00;7.6144e+00;0.0000;1.1575e+02;1;39.93320;-70.88470;26.000;34.9656;34.9654;24.8575;24.8577;257.818;253.001;227.47011;227.06175;19.5338;19.5325;1520.59;1520.58;0.437;1.214;57;0.0000e+00
2541;209.426300;105.817;27.210;19.3518;19.3830;0.0311;4.731667;4.734407;0.004743;4.5120;0.5834;86.4296;0.1096;0.1713;1.1455;22.91;1.9776;2.7472;2.7472;3.3673;3.3673;0.1532;8.1370e+00;7.0344e+00;0.0000;1.1567e+02;1;39.93320;-70.88470;27.000;35.0364;35.0330;24.9599;24.9492;259.397;254.891;228.13815;227.73668;19.3469;19.3781;1520.16;1520.24;0.587;1.244;40;0.0000e+00
2580;209.426331;107.475;28.218;19.0094;19.0135;0.0041;4.695964;4.696440;0.000855;4.5087;0.5862;86.3672;0.1117;0.1844;0.0407;0.81;1.9520;2.7465;2.7466;3.3752;3.3753;0.1530;7.6677e+00;6.5634e+00;0.0000;1.1684e+02;1;39.93319;-70.88472;28.000;35.0273;35.0278;25.0409;25.0403;260.794;256.798;229.58504;229.19565;19.0044;19.0085;1519.20;1519.21;0.565;1.274;43;0.0000e+00
2632;209.426346;109.633;29.226;18.9457;18.9554;0.0097;4.689534;4.690584;0.001412;4.5063;0.5884;86.3197;0.1125;0.1892;0.0160;0.32;1.9220;2.7410;2.7410;3.3646;3.3646;0.1530;7.1496e+00;6.1262e+00;0.0000;1.1671e+02;1;39.93318;-70.88472;29.000;35.0270;35.0276;25.0569;25.0549;260.073;255.540;229.85417;229.46710;18.9405;18.9502;1519.03;1519.06;0.405;1.303;62;0.0000e+00
2693;209.426376;112.163;30.234;18.8288;18.8304;0.0016;4.677856;4.678167;0.000564;4.4991;0.5949;86.1798;0.1174;0.2182;1.3707;27.41;1.8916;2.7291;2.7292;3.3546;3.3547;0.1394;6.6603e+00;5.6215e+00;0.0000;1.1848e+02;1;39.93318;-70.88472;30.000;35.0277;35.0289;25.0873;25.0878;259.390;255.841;230.34767;229.96494;18.8234;18.8250;1518.72;1518.72;0.465;1.333;52;0.0000e+00
2736;209.426407;113.962;31.242;18.7499;18.7523;0.0025;4.670752;4.671128;0.000611;4.4968;0.5970;86.1354;0.1208;0.2389;0.0181;0.36;1.8615;2.7260;2.7260;3.3546;3.3547;0.1351;6.2090e+00;5.3432e+00;0.0000;1.1620e+02;1;39.93318;-70.88474;31.000;35.0346;35.0356;25.1126;25.1128;259.939;255.644;230.67198;230.29224;18.7444;18.7468;1518.52;1518.52;0.619;1.361;39;0.0000e+00
2774;209.426422;115.526;32.249;18.7018;18.7081;0.0064;4.667184;4.667677;0.000706;4.4965;0.5973;86.1287;0.1219;0.2453;0.0193;0.39;1.8278;2.7269;2.7269;3.3477;3.3478;0.1524;5.7386e+00;4.9604e+00;0.0000;1.1569e+02;1;39.93317;-70.88474;32.000;35.0450;35.0437;25.1327;25.1302;260.417;255.957;230.86038;230.48251;18.6961;18.7025;1518.41;1518.42;0.623;1.390;38;0.0000e+00
2824;209.426437;117.642;33.257;18.6557;18.6576;0.0019;4.664809;4.665115;0.000357;4.4959;0.5978;86.1185;0.1225;0.2492;0.0203;0.41;1.7962;2.7264;2.7264;3.3543;3.3543;0.1528;5.3299e+00;4.4703e+00;0.0000;1.1928e+02;1;39.93316;-70.88474;33.000;35.0637;35.0647;25.1587;25.1590;260.376;256.879;231.02731;230.65132;18.6499;18.6518;1518.31;1518.32;0.394;1.419;65;0.0000e+00
2882;209.426468;120.062;34.265;18.6495;18.6497;0.0002;4.664773;4.664909;0.000158;4.4966;0.5972;86.1303;0.1214;0.2425;0.6496;12.99;1.7638;2.7247;2.7247;3.3585;3.3586;0.1528;4.9397e+00;4.2369e+00;0.0000;1.1658e+02;1;39.93316;-70.88476;34.000;35.0684;35.0694;25.1639;25.1646;260.160;257.094;231.04678;230.67107;18.6435;18.6437;1518.32;1518.32;0.536;1.447;45;0.0000e+00
